epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5525,2.09197,2.46055,1.53269,0.56948,0.60155,0.54775,0.28173,1.6013,1.55559,1.26229,0.000547614,0.000547614,0.000547614
2,20.1536,1.74111,1.47684,1.29909,0.81,0.67953,0.74779,0.33294,1.77835,1.29365,1.42983,0.00108144,0.00108144,0.00108144
3,28.3096,1.70028,1.35102,1.28813,0.72141,0.60525,0.64027,0.29133,1.73134,1.47369,1.45623,0.00159325,0.00159325,0.00159325
4,35.5831,1.68919,1.36295,1.27865,0.70298,0.454,0.52412,0.27476,1.6825,1.74191,1.44825,0.00156798,0.00156798,0.00156798
5,43.0558,1.63415,1.30653,1.26556,0.70297,0.56973,0.57131,0.29568,1.67252,2.31566,1.37934,0.00153497,0.00153497,0.00153497
6,50.4926,1.63299,1.22106,1.26935,0.83723,0.77563,0.83101,0.42403,1.57697,0.93706,1.3124,0.00150197,0.00150197,0.00150197
7,57.9653,1.62823,1.19238,1.25517,0.83598,0.78887,0.83395,0.41657,1.6042,0.95851,1.33504,0.00146896,0.00146896,0.00146896
8,65.4803,1.60638,1.15916,1.22151,0.83756,0.80234,0.85789,0.44967,1.60286,1.00152,1.32695,0.00143595,0.00143595,0.00143595
9,72.876,1.57543,1.13135,1.22253,0.88159,0.77414,0.84856,0.44012,1.58912,0.86498,1.30518,0.00140295,0.00140295,0.00140295
10,80.0814,1.54657,1.06224,1.20468,0.88461,0.78702,0.85704,0.47575,1.47759,0.85924,1.24652,0.00136994,0.00136994,0.00136994
11,87.3023,1.53427,1.04537,1.19496,0.86551,0.80963,0.87272,0.47764,1.52034,0.92413,1.27173,0.00133693,0.00133693,0.00133693
12,94.577,1.50892,1.02336,1.19804,0.87045,0.80522,0.87817,0.46074,1.59281,0.83392,1.28188,0.00130393,0.00130393,0.00130393
13,101.803,1.47032,0.95933,1.16868,0.8267,0.80253,0.86496,0.49039,1.49466,0.8635,1.23662,0.00127092,0.00127092,0.00127092
14,109.424,1.48423,0.99116,1.17447,0.85654,0.82692,0.88441,0.49961,1.46064,0.8141,1.23232,0.00123791,0.00123791,0.00123791
15,117.352,1.47803,0.97507,1.1868,0.84519,0.83315,0.866,0.45043,1.66053,0.87326,1.32909,0.00120491,0.00120491,0.00120491
