epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0412,1.95079,2.96095,1.68003,0.7025,0.61201,0.6565,0.33951,1.5136,1.97984,1.4798,0.000550661,0.000550661,0.000550661
2,42.0297,1.74264,1.71307,1.47689,0.79724,0.73098,0.77633,0.37727,1.77091,1.43551,1.64848,0.00108442,0.00108442,0.00108442
3,61.4981,1.70315,1.64827,1.45146,0.75495,0.72168,0.74299,0.3419,1.74707,1.36867,1.57713,0.00159618,0.00159618,0.00159618
4,80.9329,1.67658,1.50803,1.42648,0.80193,0.74961,0.80738,0.42432,1.6055,1.22293,1.46813,0.00156798,0.00156798,0.00156798
5,100.341,1.62694,1.42752,1.41832,0.83382,0.78825,0.85603,0.41369,1.70452,1.13861,1.54244,0.00153497,0.00153497,0.00153497
6,119.724,1.60762,1.36097,1.39563,0.83234,0.78712,0.83447,0.41156,1.61154,1.06175,1.49087,0.00150197,0.00150197,0.00150197
7,139.166,1.57295,1.31973,1.38004,0.84825,0.78638,0.84673,0.4535,1.49061,0.99908,1.40372,0.00146896,0.00146896,0.00146896
8,158.627,1.56083,1.27181,1.35462,0.83067,0.77882,0.84335,0.43264,1.65555,1.09053,1.52704,0.00143595,0.00143595,0.00143595
9,177.941,1.54439,1.18475,1.34622,0.80615,0.82959,0.84586,0.45762,1.54311,0.95736,1.42041,0.00140295,0.00140295,0.00140295
10,197.517,1.52293,1.18191,1.33548,0.84038,0.81686,0.8622,0.45468,1.55316,0.93306,1.43969,0.00136994,0.00136994,0.00136994
11,217.572,1.51246,1.14408,1.32066,0.87571,0.83074,0.88767,0.48901,1.53205,0.88845,1.38398,0.00133693,0.00133693,0.00133693
12,236.859,1.46239,1.07494,1.31309,0.84616,0.86071,0.89251,0.50013,1.4921,0.83343,1.39127,0.00130393,0.00130393,0.00130393
13,256.896,1.47013,1.06717,1.30322,0.86089,0.83327,0.89515,0.48567,1.50796,0.85448,1.38658,0.00127092,0.00127092,0.00127092
14,277.482,1.4612,1.05812,1.28341,0.87006,0.85327,0.89488,0.47941,1.54646,0.90829,1.4174,0.00123791,0.00123791,0.00123791
15,298.043,1.47044,1.03459,1.28952,0.85828,0.84715,0.88829,0.51197,1.43768,0.82623,1.35545,0.00120491,0.00120491,0.00120491
16,318.433,1.44722,1.01246,1.28258,0.85593,0.86427,0.8917,0.49563,1.51149,0.82428,1.40754,0.0011719,0.0011719,0.0011719
17,338.657,1.44699,0.98283,1.27187,0.86027,0.86809,0.88795,0.49214,1.46376,0.81143,1.39088,0.00113889,0.00113889,0.00113889
18,358.925,1.42608,0.94975,1.28694,0.85973,0.87334,0.90443,0.46174,1.59026,0.81465,1.44842,0.00110589,0.00110589,0.00110589
