epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8722,2.01525,3.56708,1.81937,0.53803,0.44782,0.44075,0.18246,1.89886,2.44659,1.96153,0.000550661,0.000550661,0.000550661
2,42.2885,1.84101,2.1275,1.66973,0.50671,0.48879,0.51323,0.21747,1.89524,2.5127,1.85192,0.00109537,0.00109537,0.00109537
3,61.451,1.78534,1.93694,1.6358,0.67202,0.56935,0.64963,0.22903,1.9699,3.26046,1.90035,0.00162909,0.00162909,0.00162909
4,80.7847,1.80482,1.87791,1.65245,0.77759,0.60684,0.67987,0.31879,1.78298,1.61978,1.6843,0.00161749,0.00161749,0.00161749
5,99.9883,1.76316,1.68873,1.61916,0.71024,0.60065,0.65419,0.24333,2.12519,1.76587,1.95179,0.00160099,0.00160099,0.00160099
6,119.451,1.71377,1.61876,1.59847,0.77348,0.68167,0.75867,0.27552,2.05852,1.49201,1.92005,0.00158448,0.00158448,0.00158448
7,139.581,1.6997,1.56865,1.57276,0.79309,0.71932,0.77577,0.27823,2.09365,1.41889,1.92175,0.00156798,0.00156798,0.00156798
8,159.51,1.68156,1.55076,1.56496,0.7636,0.65475,0.73733,0.299,1.94501,1.56341,1.83699,0.00155148,0.00155148,0.00155148
9,178.919,1.65045,1.41825,1.52711,0.8072,0.70681,0.76847,0.32158,1.88087,1.37506,1.78866,0.00153497,0.00153497,0.00153497
10,198.213,1.64519,1.45519,1.54512,0.76962,0.71514,0.76942,0.3009,1.98785,1.31911,1.86922,0.00151847,0.00151847,0.00151847
11,217.875,1.61567,1.39081,1.50897,0.82627,0.72492,0.7902,0.33758,1.88448,1.21966,1.78541,0.00150197,0.00150197,0.00150197
12,237.388,1.60205,1.35485,1.51125,0.81219,0.72002,0.7801,0.28367,2.08383,1.37136,1.96039,0.00148546,0.00148546,0.00148546
13,256.296,1.6138,1.28821,1.48587,0.82617,0.77757,0.8349,0.38008,1.79872,1.09526,1.68674,0.00146896,0.00146896,0.00146896
14,275.398,1.55357,1.21389,1.45286,0.82302,0.76415,0.81486,0.38761,1.71361,1.09914,1.62504,0.00145246,0.00145246,0.00145246
15,294.894,1.55446,1.2217,1.461,0.8297,0.78347,0.83485,0.39692,1.74921,1.03709,1.64643,0.00143595,0.00143595,0.00143595
16,314.593,1.55046,1.16347,1.4505,0.86872,0.77504,0.83713,0.42318,1.65502,1.05721,1.58509,0.00141945,0.00141945,0.00141945
17,334.23,1.56233,1.18399,1.44903,0.79715,0.75757,0.80311,0.34698,1.86652,1.18309,1.72925,0.00140295,0.00140295,0.00140295
